"Fecha","Número de confirmados","Media móvil semanal"
"03-Mar","0","0"
"04-Mar","2","0"
"05-Mar","1","0"
"06-Mar","1","0"
"07-Mar","2","0"
"08-Mar","3","0"
"09-Mar","5","2.0"
"10-Mar","2","2.3"
"11-Mar","6","2.9"
"12-Mar","10","4.1"
"13-Mar","10","5.4"
"14-Mar","18","7.7"
"15-Mar","14","9.3"
"16-Mar","81","20.1"
"17-Mar","45","26.3"
"18-Mar","37","30.7"
"19-Mar","104","44.1"
"20-Mar","92","55.9"
"21-Mar","103","68.0"
"22-Mar","95","79.6"
"23-Mar","114","84.3"
"24-Mar","176","103.0"
"25-Mar","220","129.1"
"26-Mar","164","137.7"
"27-Mar","304","168.0"
"28-Mar","299","196.0"
"29-Mar","230","215.3"
"30-Mar","310","243.3"
"31-Mar","289","259.4"
"01-Abr","293","269.9"
"02-Abr","373","299.7"
"03-Abr","333","303.9"
"04-Abr","424","321.7"
"05-Abr","310","333.1"
"06-Abr","344","338.0"
"07-Abr","301","339.7"
"08-Abr","430","359.3"
"09-Abr","426","366.9"
"10-Abr","529","394.9"
"11-Abr","426","395.1"
"12-Abr","286","391.7"
"13-Abr","312","387.1"
"14-Abr","392","400.1"
"15-Abr","356","389.6"
"16-Abr","534","405.0"
"17-Abr","445","393.0"
"18-Abr","478","400.4"
"19-Abr","358","410.7"
"20-Abr","419","426.0"
"21-Abr","325","416.4"
"22-Abr","464","431.9"
"23-Abr","516","429.3"
"24-Abr","494","436.3"
"25-Abr","552","446.9"
"26-Abr","473","463.3"
"27-Abr","482","472.3"
"28-Abr","552","504.7"
"29-Abr","770","548.4"
"30-Abr","888","601.6"
"01-May","985","671.7"
"02-May","1427","796.7"
"03-May","1228","904.6"
"04-May","980","975.7"
"05-May","1317","1085.0"
"06-May","1032","1122.4"
"07-May","1533","1214.6"
"08-May","1391","1272.6"
"09-May","1247","1246.9"
"10-May","1647","1306.7"
"11-May","1197","1337.7"
"12-May","1658","1386.4"
"13-May","2660","1619.0"
"14-May","2659","1779.9"
"15-May","2502","1938.6"
"16-May","1886","2029.9"
"17-May","2353","2130.7"
"18-May","2278","2285.1"
"19-May","3520","2551.1"
"20-May","4038","2748.0"
"21-May","3964","2934.4"
"22-May","4276","3187.9"
"23-May","3536","3423.6"
"24-May","3709","3617.3"
"25-May","4895","3991.1"
"26-May","3964","4054.6"
"27-May","4328","4096.0"
"28-May","4654","4194.6"
"29-May","3695","4111.6"
"30-May","4220","4209.3"
"31-May","4830","4369.4"
"01-Jun","5471","4451.7"
"02-Jun","3527","4389.3"
"03-Jun","4942","4477.0"
"04-Jun","4664","4478.4"
"05-Jun","4207","4551.6"
"06-Jun","5246","4698.1"
"07-Jun","6405","4923.1"
"08-Jun","4696","4812.4"
"09-Jun","3913","4867.6"
"10-Jun","5737","4981.1"
"11-Jun","5596","5114.3"
"12-Jun","6754","5478.1"
"13-Jun","6509","5658.6"
"14-Jun","6938","5734.7"
"15-Jun","5143","5798.6"
"16-Jun","5013","5955.7"
"17-Jun","4757","5815.7"
"18-Jun","4475","5655.6"
"19-Jun","6290","5589.3"
"20-Jun","5355","5424.4"
"21-Jun","5607","5234.3"
"22-Jun","4608","5157.9"
"23-Jun","3804","4985.1"
"24-Jun","3649","4826.9"
"25-Jun","4648","4851.6"
"26-Jun","4296","4566.7"
"27-Jun","4406","4431.1"
"28-Jun","4216","4232.4"
"29-Jun","4017","4148.0"
"30-Jun","3394","4089.4"
"01-Jul","2650","3946.7"
"02-Jul","2498","3639.6"
"03-Jul","3548","3532.7"
"04-Jul","3758","3440.1"
"05-Jul","3685","3364.3"
"06-Jul","3025","3222.6"
"07-Jul","2462","3089.4"
"08-Jul","2064","3005.7"
"09-Jul","3133","3096.4"
"10-Jul","3058","3026.4"
"11-Jul","2755","2883.1"
"12-Jul","3012","2787.0"
"13-Jul","2616","2728.6"
"14-Jul","1836","2639.1"
"15-Jul","1712","2588.9"
"16-Jul","2475","2494.9"
"17-Jul","2840","2463.7"
"18-Jul","2185","2382.3"
"19-Jul","2082","2249.4"
"20-Jul","2099","2175.6"
"21-Jul","1656","2149.9"
"22-Jul","1741","2154.0"
"23-Jul","2371","2139.1"
"24-Jul","2545","2097.0"
"25-Jul","2287","2111.6"
"26-Jul","2198","2128.1"
"27-Jul","2133","2133.0"
"28-Jul","1876","2164.4"
"29-Jul","1773","2169.0"
"30-Jul","1948","2108.6"
"31-Jul","2123","2048.3"
"01-Ago","1979","2004.3"
"02-Ago","2081","1987.6"
"03-Ago","1762","1934.6"
"04-Ago","1462","1875.4"
"05-Ago","1781","1876.6"
"06-Ago","1947","1876.4"
"07-Ago","2149","1880.1"
"08-Ago","2201","1911.9"
"09-Ago","2036","1905.4"
"10-Ago","1988","1937.7"
"11-Ago","1566","1952.6"
"12-Ago","1540","1918.1"
"13-Ago","1852","1904.6"
"14-Ago","2077","1894.3"
"15-Ago","1777","1833.7"
"16-Ago","2086","1840.9"
"17-Ago","1556","1779.1"
"18-Ago","1336","1746.3"
"19-Ago","1233","1702.4"
"20-Ago","1813","1696.9"
"21-Ago","1920","1674.4"
"22-Ago","1926","1695.7"
"23-Ago","1942","1675.1"
"24-Ago","1903","1724.7"
"25-Ago","1406","1734.7"
"26-Ago","1371","1754.4"
"27-Ago","1739","1743.9"
"28-Ago","1868","1736.4"
"29-Ago","2033","1751.7"
"30-Ago","1966","1755.1"
"31-Ago","1753","1733.7"
"01-Sep","1415","1735.0"
"02-Sep","1582","1765.1"
"03-Sep","1758","1767.9"
"04-Sep","1965","1781.7"
"05-Sep","1961","1771.4"
"06-Sep","2077","1787.3"
"07-Sep","1764","1788.9"
"08-Sep","1263","1767.1"
"09-Sep","1482","1752.9"
"10-Sep","1639","1735.9"
"11-Sep","1860","1720.9"
"12-Sep","2135","1745.7"
"13-Sep","2082","1746.4"
"14-Sep","1685","1735.1"
"15-Sep","1536","1774.1"
"16-Sep","1305","1748.9"
"17-Sep","1860","1780.4"
"18-Sep","1673","1753.7"
"19-Sep","1848","1712.7"
"20-Sep","1600","1643.9"
"21-Sep","1194","1573.7"
"22-Sep","1054","1504.9"
